"";"URL";"Info";"Direccion";"Precio";"Superficie";"Habitaciones";"Planta";"Longitud";"Latitud"
"1";"https://www.idealista.com/inmueble/25956706/";" ""CARTAGENA-SANTA ANA Superf. 105 m², 300 m² solar, 5 habitaciones (2 dobles, 3 individuales), 3 baños, año 2005, esquina, cocina amueblada con elec, lavadero, chimenea, suelos gres, carpintería exterior aluminio term, vidrios dobles climalit, carpintería interior haya, puerta blindada, A/E 3, A/A 3 split frío y calor, garaje en sótano de 130 m, jardín 140m, terraza, patio, orientación sureste, soleado, trastero. Espléndida planta baja muy bien conservada y con muchas mejoras realizadas, zona muy tranquila y bien comunicada, con buhardilla de 50 m. Se puede hacer la vida en la planta baja donde tiene los dormitorios principales. PARA ENTRAR."" ";" Casa o chalet independiente en venta en Urb. Sta Ana pueblo, Santa Ana-Miranda, Cartagena";"250000";"105";"5";"Hipoteca 640 eur/mes - ";"-1.0096138";"37.6664258"
"2";"https://www.idealista.com/inmueble/2120691/";" ""dúplex de 160 metros útiles. Urbanizacion cerrada con piscina y parque infantil a escasos metros de renfe situado en zona nueva de humanes. amplio salón de 40 metros, 3 habitaciones(habitación de matrimonio de 30 metros, ya que se amplió tirando una pared), 2 baños(uno de mármol), cocina con tendedero, trastero, garaje, aire acondicionado frío/calor en salón y habitación de matrimonio, tarima flotante haya, puertas lacadas en blanco, dispone de 2 amplias terrazas una por planta, escalera de madera haya. se vende con cocina, baños, salón y habitación de matrimonio amueblados(incluido en el precio). distribución: terraza descubierta de 10 m2 8 vecinos en el edificio la casa dispone de: portero automático."" ";"Dúplex en venta en calle Cañada, 16, Humanes de Madrid";"270000";"180";"3";"3ª";"-3.8265727";"40.2502221"
"3";"https://www.idealista.com/inmueble/25350105/";" ""Se vende vivienda esquina a estrenar de 3 dorm. y 2 baños, plaza de garaje incluida, carpintería interior en haya, preinstalacion aire acondicionado. Todas las piezas al exterior."" ";"Piso en venta en Carrús Oest - Plaza Madrid, Elche / Elx";"135000";"95";"3";"2ª";"-0.7133852";"38.2692806"
"4";"https://www.idealista.com/inmueble/32013279/";" ""Engel & Völkers presenta esta magnífica propiedad ideal para invertir. Consta de un amplio salón – comedor con chimenea y una terraza con vistas al jardín interior del edificio. El dormitorio principal dispone de baño en suite y un amplio vestidor. Cuenta también con otros dos amplios dormitorios con armarios empotrados y dos baños completos. Dispone de muy buenas calidades, la carpintería interior es de madera, los baños están alicatados con cerámica italiana y las habitaciones cuentan con doble ventana, lo que mejora el aislamiento. La zona de servicio cuenta con entrada independiente, dando paso a una gran cocina de dieciocho metros cuadrados, zona para tender, habitación de servicio y baño. Además, esta vivienda tiene el privilegio de contar con trastero y dos plazas de garaje.Se encuentra en una urbanización que dispone de video-vigilancia con cámaras de seguridad y grandes zonas comunes donde se haya una piscina al aire libre, una cancha de tenis con iluminación nocturna, zona infantil con pista de patinaje y amplios jardines. Tiene además un club social, una sala infantil y un cuarto para bicicletas. Privacidad, exclusividad y lujo definen esta vivienda.El barrio de Arturo Soria es uno de los más prestigiosos y lujosos de Madrid. Su localización, en el centro urbano y próximo a todos los servicios que alguien pueda requerir, le convierte en uno de los enclaves más deseados por quienes quieren disfrutar de la tranquilidad y de un entorno exclusivo, sin renunciar a la cercanía de los servicios de una gran ciudad.Las amplias avenidas y elegantes edificios de Arturo Soria, completan esta prestigiosa zona. En el barrio puede disfrutar de un entorno absolutamente privilegiado: parques y tranquilas avenidas permiten el paseo entre un relajante silencio. En la zona residen desde diplomáticos y artistas a políticos y deportistas, como por ejemplo, jugadores del Real Madrid por su cercanía al Santiago Bernabéu y la ciudad deportiva de Valdebebas. Los mejores centros educativos nacionales e internacionales (Lycée Français, Numont, San José del Parque…) y Escuelas de Negocios de referencia (ESIC), se encuentran en su entorno. Y dispone también de numerosos centros deportivos y comerciales. En éstos encontrará una amplia oferta gastronómica y de ocio, y de la presencia de las más prestigiosas marcas. Todo ello, a unos minutos del centro de Madrid, de los ejes comerciales más prestigiosos y de su inmejorable oferta cu"" ";"Piso en venta en Atalaya, Madrid";"880000";"335";"4";"1ª";"-3.6664727";"40.4672834"
"5";"https://www.idealista.com/inmueble/790500/";" ""Jorsa Inmobiliaria & Abogados vende magnifico inmueble de 2 habitaciones con dos baños (uno de ellos en suite) salón comedor y cocina con terraza tendedero. totalmente exterior en urbanización cerrada con vigilancia 24 h, piscina y área de juego infantil.Inmejorable ubicación al lado del centro comercial de Bahía Center, del parque juan Carlos 1 y del jardín del capricho. Inmediato acceso a las principales arterias A10, M40, A2 y al aeropuerto. una de las zonas mas exclusivas de Madrid. El precio incluye plaza de garaje y trastero.Nos satisface que haya elegido usted uno de nuestros inmuebles, puede contactar con nosotros y aprovecharse de las ventajas que le ofrecemos:-Experiencia en el sector inmobiliario.-Asesor personal experto exclusivo para orientarle y ayudarle durante todo el proceso.-Servicio integral con las máximas garantías.JORSA INMOBILIARIA & ABOGADOS le ofrece un servicio integral de consultoría e intermediación dentro del sector inmobiliario español.Nos avalan muchos años en el sector y un equipo altamente cualificado de profesionales con experiencia en la tasación, comercialización y asesoramiento jurídico para la adquisición o venta de su inmueble.JORSA INMOBILIARIA & ABOGADOS cuenta con Agente de la Propiedad Inmobiliaria Titulado y Abogado en ejercicio.Desde nuestros inicios JORSA INMOBILIARIA & ABOGADOS ha mantenido siempre unas máximas que han marcado la diferencia: prioridad en el cliente y ofrecer un servicio siguiendo lo más altos estándares de calidad. Máximas que han llevado a JORSA INMOBILIARIA & ABOGADOS a convertirse en la inmobiliaira líder en comercialización de viviendas en venta y alquiler en la zona de Coronales, Alameda de Osuna y Timón y en la inmobiliaria de referencia de distritos como Salamanca o Chamberí, con varias oficinas en Madrid."" ";"Piso en venta en calle Bahía de Cádiz, Campo de las Naciones-Corralejos, Madrid";"269000";"85";"2";"Bajo";"-3.5959985";"40.463942"
"6";"https://www.idealista.com/inmueble/32367952/";" ""LuxHOME vende este impresionante piso, con una ubicación única dentro de la zona exclusiva en la que se haya.Tiene una reforma integral reciente. Su orientación, sus techos de 4 m de altura y los grandes ventanales le confieren una luminosidad fuera de lo normal.Gran portal señorial y representativo."" ";"Piso en venta en Almagro, Madrid";"2800000";"500";"7";"4ª";"-3.691116";"40.4333285"
"7";"https://www.idealista.com/inmueble/32173127/";" ""CASTELLANA, CUZCO, EXTRAORDINARIO PISO con ESPECTACULARES vistas DE LA SIERRA, Planta 16 de 17, orientación Oeste, cercano a la Plaza de Cuzco, entre Orense y Capitán Haya. Con una superficie construida de 144 m2 y 109 m2 útiles, completamente reformado con materiales y acabados de primera calidad, para entrar a vivir. Todas sus estancias exteriores y con luz natural. Consta de dos habitaciones (posibilidad de 3), dos cuartos de baño completos (uno de ellos en suite), habitación principal 18 m2 con vestidor y baño en suite, salón de 35 m2, cocina de 20 m2. Aire acondicionado frio-calor en salón. Calefacción y agua caliente central por gasoleo. Cuatro vecinos por planta, 4 ascensores y 1 montacargas en el edificio. Entrada de servicio tanto en portal como en vivienda. Zona absolutamente tranquila y silenciosa, edificio rodeado de zonas ajardinadas. Magníficamente comunicado, próximo a todo tipo de servicios (colegios, metro, múltiples líneas de autobus, restaurantes, centros comerciales, etc. ). Posibilidad de garage en el propio edificio."" ";"Piso en venta en Cuzco-Castillejos, Madrid";"639000";"144";"3";"16ª";"-3.6956326";"40.4580328"
"8";"https://www.idealista.com/inmueble/453017/";" ""! OPORTUNIDAD ¡espectacular ático en la calle capitán Haya, con espectaculares vistas urbanas.... Completamente reformado con la mejor calidad (luz, tuberías, carpintería, ) el precio No es negociable. distribución: salón-comedor de 50 m2 4 vecinos en el edificio la casa dispone de: cocina eléctrica vitrocerámica suelo del baño de grés ventanas de aluminio portero automático"" ";"Ático en venta en Cuzco-Castillejos, Madrid";"585000";"149";"2";"13ª";"-3.6900292";"40.4646046"
"9";"https://www.idealista.com/inmueble/31713855/";" ""Situado en finca frente al Mercadona de Lope de Haro. Muy bien comunicado, junto al metro y muchas paradas de autobús. Cerca de varios colegios concertados. Piso totalmente reformado hace 5 años. Calefacción central. Diseño y materiales de primera calidad. Tarima de haya de una lama. Ventanas oscilobatientes con rotura de puente térmico. Pintura lisa en toda la vivienda. Estanterías de escayola en salones y pasillo. Aire acondicionado por conducto regulable por habitaciones. Instalación de hilo musical en baños y cocina. Instalación de cine en casa y proyector DVD."" ";"Piso en venta en calle de lope de haro, 11, Berruguete, Madrid";"320000";"115";"4";"3ª";"-3.7031074";"40.4569665"
"10";"https://www.idealista.com/inmueble/31401339/";" ""Se vende apartamento en perfectas condiciones, para entrar a vivir, amueblado y con electrodomésticos. Baño recién reformado con plato de ducha hecho a mano y paredes de mármol. Puerta de entrada blindada, suelos con tarima flotante de madera de haya, vestidor modular forrado interiormente. Instalación domótica, caldera para calefacción y agua caliente individual de gas natural con termostato digital regulable. Preinstalación de aire acondicionado. Con plaza de garaje y trastero. Zona con todos los servicios y muy tranquila. Cerca hay parada de metro, bus al centro, colegio, parque, farmacia, bares, Mercadona y centro comercial la Gavia."" ";"Piso en venta en avenida del ensanche de vallecas, 57, Ensanche de Vallecas - La Gavia, Madrid";"179000";"55";"1";"5ª";"-3.6014601";"40.3649326"
